,Dialogue
0,"﻿Ross was in love
"
1,"with Rachel since forever.
"
2,"Every time he tried to tell her,
"
3,"something got in the way...
"
4,"...like cats, Italian guys.
"
5,"And finally, Chandler was,
"
6,"like, ""Forget about her.""
"
7,"When Ross was in China, Chandler
"
8,"let it slip that Ross loved Rachel.
"
9,"She was, like, ""Oh, my God!""
"
10,"So she went to the airport to meet him.
"
11,"She didn't know Ross was getting
"
12,"off the plane with another woman.
"
13,"That's pretty much everything
"
14,"you need to know.
"
15,"But enough about us.
"
16,"How have you been?
"
17,"This is pretty much
"
18,"what's happened so far.
"
19,"Flight number 457
"
20,"from Beijing now arriving.
"
21,"Oh, my God!
"
22,"Oh, my God!
"
23,"Excuse me.
"
24,"Move, move, move!
"
25,"Emergency, please!
"
26,"Excuse me, excuse me.
"
27,"There you are!
"
28,"So, so...
"
29,"How was China? You!
"
30,"It was great.
"
31,"What happened?
"
32,"- You're bleeding.
"
33,"- I am?
"
34,"Oh, look at that! Yes, I am.
"
35,"Enough about me,
"
36,"Mr. Back From The Orient!
"
37,"Come on, I wanna hear everything!
"
38,"Everything!
"
39,"Well, where do I start?
"
40,"This is Julie.
"
41,"Julie, this is Rachel.
"
42,"These are...
"
43,"These are...
"
44,"...aren't for you.
"
45,"These are for you.
"
46,"Welcome to our country.
"
47,"Thank you. I'm from New York.
"
48,"No problem. We'll use them
"
49,"to stop the bleeding.
"
50,"Baggage claim?
"
51,"I'm telling U. She went to the airport,
"
52,"and she's gonna go for it with Ross.
"
53,"Oh, my God! This is huge!
"
54,"This is bigger than huge.
"
55,"This is...
"
56,"All right, what's bigger than huge?
"
57,"This?
"
58,"Guys, you got new haircuts!
"
59,"Yes, we did.
"
60,"Thanks to Vidal Buffay.
"
61,"Because, you know, ""If you don't
"
62,"look good, we don't look good.""
"
63,"I love that voice!
"
64,"And the winner is Eva Godna!
"
65,"Airport. Airport. Ross.
"
66,"Not alone.
"
67,"Julie.
"
68,"Arm around her!
"
69,"Cramp! Cramp! Cramp!
"
70,"I think she's trying
"
71,"to tell us something.
"
72,"Quick, get the verbs.
"
73,"You! You!
"
74,"You said he liked me!
"
75,"You!
"
76,"You slowpokes!
"
77,"That's all right.
"
78,"We got the bags.
"
79,"This is my sister, Monica.
"
80,"This is Chandler.
"
81,"Phoebe, hi.
"
82,"Joey.
"
83,"Everyone, this is Julie.
"
84,"Julie.
"
85,"But I'm not here,
"
86,"you haven't met me.
"
87,"I'll make a better impression when
"
88,"I don't have 20 hours of plane on me.
"
89,"- And bus.
"
90,"- Oh, my God!
"
91,"- With the screaming guy
"
92,"- And the spitting.
"
93,"You gotta hear this story.
"
94,"We're on this bus
"
95,"that's 200 years old.
"
96,"Two hundred, at least.
"
97,"And the chicken poops in her lap!
"
98,"I'm so sorry.
"
99,"I just gave away the ending, didn't I?
"
100,"I just heard this story in the cab...
"
101,"...and it is all I can think about.
"
102,"This is amazing.
"
103,"How did this happen?
"
104,"We were in grad school together.
"
105,"We haven't seen each other since then.
"
106,"I land in China...
"
107,"...guess who's in charge of the dig?
"
108,"Julie!
"
109,"Isn't that great?
"
110,"Isn't that just kick-you-in-the-crotch,
"
111,"spit-on-your-neck fantastic?
"
112,"It's an expression.
"
113,"We just wanted to say a quick hi.
"
114,"- Then we'll see the baby.
"
115,"- Then get some sleep.
"
116,"It's 6:00 tomorrow night, our time.
"
117,"Don't tell us what's gonna happen.
"
118,"I like being surprised.
"
119,"Bye!
"
120,"- Can I get some coffee?
"
121,"- Sure.
"
122,"- Did you talk to him yet?
"
123,"- No.
"
124,"Then, no.
"
125,"What the hell happened to you in China?
"
126,"When last we left you,
"
127,"you were in love with, you know.
"
128,"I know I was.
"
129,"But there was always this voice
"
130,"inside that kept saying:
"
131,"""It's never gonna happen. Move on.""
"
132,"You know whose voice that was?
"
133,"God?
"
134,"It was you, pal.
"
135,"Maybe it was God doing me.
"
136,"You were right. She looks at me
"
137,"and sees a friend. That's all.
"
138,"And then I met Julie...
"
139,"...and we're having a great time.
"
140,"I never would have gone for it,
"
141,"if it hadn't been for you.
"
142,"Well, you owe me one, big guy.
"
143,"Your lemonade.
"
144,"I didn't order it.
"
145,"Then go take that back.
"
146,"They'll charge you for that.
"
147,"Go, go, go! Come on, come on!
"
148,"So what did you find out?
"
149,"He said...
"
150,"He said...
"
151,"They're having a great time.
"
152,"I'm sorry.
"
153,"But the silver lining,
"
154,"if you wanna see it...
"
155,"...is that he made this decision
"
156,"all by himself...
"
157,"...without any outside help whatsoever.
"
158,"How is that a silver lining?
"
159,"You have to really wanna see it.
"
160,"Ironically, these guys
"
161,"were picked last in gym.
"
162,"Hey, Pheebs.
"
163,"You know what I'm thinking?
"
164,"How...
"
165,"...it's been so long
"
166,"since you've had sex...
"
167,"...you're wondering
"
168,"if they've changed it?
"
169,"No. Although now
"
170,"that's what I'm thinking.
"
171,"So what were you thinking?
"
